z_t_math_base,z_t_math_end,blockZZ,treatment,spillover_class,in_person_sch,z_baseline,age2,female,father_jhs,mother_jhs,ses1,class_size,t_female,t_age2,t_exp,t_4yrcoll,t_cert,t_major_math,t_rank_yigao,b_t_math_t_direct,e_t_math_t_direct,b_t_math_t_active,e_t_math_t_active,b_t_math_fixed,e_t_math_fixed,b_t_math_rules,e_t_math_rules,b_t_math_inquiry,e_t_math_inquiry,t_intr_mot_base,t_intr_mot_end,t_prosoc_mot_base,t_prosoc_mot_end,blockZ
.68756992,.29315862,42,2,0,1,-.36173034,13.129586,.48837209,.76744187,.74418604,.3369594430121252,43,1,26.12731,1,1,1,1,0,1.1921724,.066605583,.055036951,.85701269,-.40501857,-.2582843,1.1453378,.71049106,1.3241848,.54278994,-.62593573,-.44988692,.026129868,.48474586,4
.28808209,.46416995,52,2,1,1,-.27206787,13.981405,.5,.79166669,.75,.3342684891966728,48,0,44.295689,24,0,1,0,1,1.4754399,.83176136,-1.3079598,-.35901612,-.80711699,-1.3406683,-.68381029,-1.0410658,-.082138166,-.004593364,.62543452,-.2007217,.70299262,-.27198109,5
-.51089352,-.048864014,42,2,1,1,-.21840657,13.249563,.44776121,.58208954,.31343284,.5062320329005227,67,1,28.960985,5,0,1,0,0,-.3686336,1.0370454,.055036951,1.1708809,-.67758614,-1.1723521,.91865498,.67279482,-.66297042,-.072699882,.96874642,.58100575,-.34669834,-.23495121,4
-.3111496,-.21987534,62,2,0,1,-.6188091,15.108085,.54385966,.61403507,.36842105,.8030917279255959,57,0,38.959618,20,1,1,0,1,-.47652751,-.37195894,.055036951,.63174075,-.49830449,-.69234127,.35532027,-1.4333975,-.66297042,.90327752,.0038811925,-.32014287,.46554574,.22940387,6
.088338196,.46416995,40,0,0,0,-.12542881,13.11461,.51851851,.68518519,.4074074,.2787402776893045,54,0,33.127995,14,0,1,0,0,1.0203059,1.3226292,.055036951,-.35901612,.69887382,.55264384,.65937561,.71049106,-.69153476,-.004593364,-.88049024,.28419241,-1.675029,-1.5303341,4
.28808209,.29315862,50,0,1,0,-.3611733,14.033569,.56060606,.49253732,.37313432,.3717603741324038,67,1,39.126625,15,0,1,1,0,.83684736,.69677407,-.67570662,-.35901612,.55693406,.55264384,.65937561,.50908989,-.50409472,-.46088147,.34719312,-1.0353128,.069282599,-.77360731,5
.088338196,.63518125,41,1,0,1,.37932754,13.161838,.47222221,.41666666,.33333334,.8368254616321846,36,1,26.874743,2,1,1,0,0,-.92898136,.47234058,.47202769,1.1708809,.97854251,-.47530803,1.1453378,.24345881,.55591255,1.17591,.96874642,-.26789409,.70299262,.45312661,4
.28808209,.46416995,51,1,1,1,.088194564,13.917055,.40909091,.61363637,.54545456,.2852124533956935,44,1,46.212185,27,1,1,0,1,.99006027,.61417222,.055036951,.0085016219,1.7247241,-.089610524,.65937561,.10882709,-.72475815,-.9124642,.96874642,.39901292,1.0188677,.7082274,5
.88731378,.97720391,41,1,0,0,.53357607,12.838878,.48571429,.51428574,.48571429,1.05305192616772,35,0,42.631073,25,0,1,0,1,-1.0333786,-2.3047979,.74776608,1.7923232,-1.3208804,.22070634,1.1453378,-.24069636,1.1367447,-.004593364,-.81769276,-1.5581669,.70299262,-.5498845,4
.28808209,.97720391,51,1,1,0,.18417183,13.838652,.48648649,.64864862,.37837839,.8079970801298869,37,0,31.712526,6,1,1,1,0,.59221071,.54329568,1.1665829,.46449789,-.27548772,.32819501,1.4283679,.71049106,1.1367447,-.004593364,1.0066755,1.7029797,-.24659254,-.75937998,5
.48782599,.46416995,42,2,0,0,.39186808,12.895277,.51851851,.8888889,.8888889,-1.447842756416282,54,0,36.799454,15,0,1,1,0,.43799669,.084406391,1.0769495,-.045265507,1.6314155,-.82280803,-.10239131,-.0066780224,1.1367447,.18398796,3.7674248,3.3199129,-.48403937,-1.7535745,4
.28808209,.63518125,52,2,1,0,.34027326,13.851849,.55102038,1,.89795917,-1.584558020397334,49,1,51.96167,30,0,1,1,1,-.087090254,-1.0873022,-1.329061,.43584546,.69306785,-.62568659,-2.1906371,-.46863115,-.694085,-.097374141,.62543452,.91215891,1.0188677,.7082274,5
.88731378,-.048864014,41,1,1,0,.018160254,13.183421,.48888889,.82222223,.62222224,-.8524617437668681,45,1,41.127995,25,1,1,0,1,.27734974,.021584019,-.48379233,.26422295,-.6351828,.11027412,.57432371,-1.0755303,.17136259,-.004593364,-.01980578,.91215891,-.66257346,.48474586,4
.28808209,-.21987534,51,1,0,0,-.28236109,14.155893,.51999998,.68000001,.63999999,-.9685955935703832,50,1,26.212183,2,1,1,0,0,.89661068,-1.4107652,1.0929846,-6.3917494,.18803012,.059683233,.65937561,1.600805,-.082138166,2.0544012,.96874642,1.2433121,-1.4178644,1.4419106,5
.48782599,.1221473,40,0,0,0,-.58261764,13.212301,.48275861,.89655173,.86206895,-.714468686667901,29,1,41.713894,19,0,1,0,0,1.4825633,.83096302,1.1665829,1.4248055,.079682536,-.016331734,1.449393,-.5902971,2.1942019,-.96786618,.96874642,.59071392,1.0188677,.96332812,4
.88731378,-1.4169545,50,0,1,0,-.10106773,14.174472,.32258064,.90322578,.90322578,-.6283493214721604,31,1,39.126625,16,0,1,1,0,1.0841038,1.0680957,-.36377981,.0085016219,-.38065591,-.016331734,.65937561,.71049106,-.082138166,-.004593364,.96874642,.25956073,1.0188677,.48474586,5
-.51089352,-.56189793,42,2,0,1,-.21827698,13.298162,.2820513,.71794873,.66666669,-.5935105415350116,39,0,42.464066,22,0,1,0,1,-.34548712,.91313034,-.31033483,.0085016219,-.90661854,-.89879888,-.77859831,.51432514,-.27669781,-.45617607,-.25893682,-.51245862,-.84306729,-.54130912,4
-1.509613,-.90392059,52,2,1,1,-.22832173,14.220671,.47499999,.72500002,.64999998,-.3619943886542155,40,1,41.127995,18,0,1,0,0,-1.7516203,-1.014971,.044973973,1.5263233,-1.6051148,1.0519161,-.43469709,-3.7799876,-.47087124,-1.3055717,.96874642,1.6421444,.72642767,-.22613467,5
1.0870577,.63518125,42,2,1,1,.26270062,13.150914,.40000001,.71428573,.82857144,-.48652788015759,35,1,44.380562,21,0,1,0,1,-.1179692,.63177443,.1155129,.26422295,1.0833939,1.2514093,.26230651,-.04114265,-.92605126,-2.5815916,3.4241128,-.5950613,.37135738,-.82827032,4
.88731378,.46416995,52,2,0,1,-.078392953,13.971252,.55263156,.84210527,.7368421,-.604334147553135,38,1,25.9603,3.2,1,1,0,0,-.19101548,-.77782685,1.1665829,.36574063,1.3210764,.56262839,.3674995,.51432514,.74089205,1.2440166,-.25893682,-1.7544686,.38515773,-.048499517,5
1.0870577,-.73290926,40,0,0,0,-.13705915,12.714049,.45161289,.51612902,.67741936,-.8920013795989817,31,0,39.37851,16,0,1,0,1,-2.0840964,-1.2513037,.055036951,.60308826,-.14313425,2.1029968,.13313739,1.0258862,.36592227,2.0544012,-.69581538,.32213247,.010331606,.96332812,4
.088338196,.1221473,50,0,1,0,-.2849344,14.167618,.51428574,.6388889,.80555558,-.4299461877733064,36,1,24.876112,1,1,1,0,0,-1.0798495,-.21728122,.67416769,.0085016219,.6201579,1.1099174,.65937561,-2.0456882,-.082138166,-.004593364,.96874642,.91215891,1.0188677,.48474586,5
-.51089352,-.048864014,42,2,1,1,.1528302,13.083463,.3877551,.69387758,.85714287,-.6692351128942434,49,1,34.713211,12,0,1,1,0,-.55437553,-.32676956,-.78259665,-.10823031,-.40510812,.17180189,.051265046,-.55183148,-.082138166,-2.0635881,-.25893682,-.19101356,-1.3394362,-.7505635,4
-.1114057,-.90392059,52,2,0,1,.16976343,13.879044,.5471698,.64150941,.71698111,-.5922311812053782,53,1,28.632444,4,1,1,1,0,.89661068,-2.2685804,.055036951,-7.1267853,-1.1656803,-1.3406683,.65937561,-5.9797235,-.082138166,-8.240572,-.25893682,.91215891,-.34669834,.96332812,5
